start_iso,end_iso,elapsed_sec,step,returncode,dataset,lm,run_id,cmd
2026-01-20T20:35:52,2026-01-20T20:36:19,26.51,match_all,0,aircraft_er/union,distilbert,0,python matcher.py --task aircraft_er/union --input_path data/ditto_aircraft/union/all_pairs.txt --output_path aircraft_er_predictions/union_predictions_all.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-20T20:36:19,2026-01-20T20:36:27,8.626,match_test,0,aircraft_er/union,distilbert,0,python matcher.py --task aircraft_er/union --input_path data/ditto_aircraft/union/test.txt --output_path aircraft_er_predictions/union_predictions_test.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-20T22:58:32,2026-01-20T23:13:20,888.24,train,0,aircraft_er/baseline,distilbert,0,python train_ditto.py --task aircraft_er/baseline --logdir results_ditto/ --batch_size 64 --max_len 64 --finetuning --lr 3e-5 --fp16 --lm distilbert --n_epochs 40 --run_id 0 --save_model
2026-01-20T23:13:20,2026-01-20T23:13:44,23.922,match_all,0,aircraft_er/baseline,distilbert,0,python matcher.py --task aircraft_er/baseline --input_path data/ditto_aircraft/baseline/all_pairs.txt --output_path aircraft_er_predictions/baseline_predictions_all.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-20T23:13:44,2026-01-20T23:13:53,9.018,match_test,0,aircraft_er/baseline,distilbert,0,python matcher.py --task aircraft_er/baseline --input_path data/ditto_aircraft/baseline/test.txt --output_path aircraft_er_predictions/baseline_predictions_test.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-20T23:13:53,2026-01-20T23:21:20,447.098,train,0,aircraft_er/baseline_lh,distilbert,0,python train_ditto.py --task aircraft_er/baseline_lh --logdir results_ditto/ --batch_size 64 --max_len 64 --finetuning --lr 3e-5 --fp16 --lm distilbert --n_epochs 40 --run_id 0 --save_model
2026-01-20T23:21:20,2026-01-20T23:21:31,10.636,match_all,0,aircraft_er/baseline_lh,distilbert,0,python matcher.py --task aircraft_er/baseline_lh --input_path data/ditto_aircraft/baseline_lh/all_pairs.txt --output_path aircraft_er_predictions/baseline_lh_predictions_all.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-20T23:21:31,2026-01-20T23:21:37,6.166,match_test,0,aircraft_er/baseline_lh,distilbert,0,python matcher.py --task aircraft_er/baseline_lh --input_path data/ditto_aircraft/baseline_lh/test.txt --output_path aircraft_er_predictions/baseline_lh_predictions_test.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-20T23:21:37,2026-01-20T23:29:39,481.844,train,0,aircraft_er/baseline_lh_0,distilbert,0,python train_ditto.py --task aircraft_er/baseline_lh_0 --logdir results_ditto/ --batch_size 64 --max_len 64 --finetuning --lr 3e-5 --fp16 --lm distilbert --n_epochs 40 --run_id 0 --save_model
2026-01-20T23:29:39,2026-01-20T23:29:54,14.985,match_all,0,aircraft_er/baseline_lh_0,distilbert,0,python matcher.py --task aircraft_er/baseline_lh_0 --input_path data/ditto_aircraft/baseline_lh_0/all_pairs.txt --output_path aircraft_er_predictions/baseline_lh_0_predictions_all.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
